"시점",전국,서울특별시,경기도
"2013.04",92.823,91.702,92.682
"2013.05",92.823,91.702,92.673
"2013.06",92.710,91.566,92.604
"2013.07",92.909,91.745,92.820
"2013.08",93.238,92.076,93.115
"2013.09",93.419,92.290,93.262
"2013.10",93.134,92.051,92.976
"2013.11",93.116,92.042,92.994
"2013.12",93.229,92.179,93.088
"2014.01",93.730,92.689,93.538
"2014.02",93.980,92.877,93.781
"2014.03",94.153,93.090,94.006
"2014.04",94.214,93.268,94.067
"2014.05",94.369,93.414,94.231
"2014.06",94.248,93.320,94.101
"2014.07",94.386,93.516,94.248
"2014.08",94.551,93.746,94.396
"2014.09",94.490,93.652,94.335
"2014.10",94.205,93.380,94.032
"2014.11",94.015,93.268,93.858
"2014.12",94.006,93.380,93.858
"2015.01",94.643,93.989,94.487
"2015.02",94.587,94.055,94.439
"2015.03",94.596,93.970,94.458
"2015.04",94.625,94.122,94.487
"2015.05",94.890,94.301,94.799
"2015.06",94.909,94.310,94.780
"2015.07",95.080,94.717,94.989
"2015.08",95.213,94.953,95.102
"2015.09",94.966,94.811,94.809
"2015.10",94.966,94.783,94.847
"2015.11",94.786,94.641,94.667
"2015.12",95.070,94.991,94.941
"2016.01",95.232,95.066,95.131
"2016.02",95.640,95.444,95.519
"2016.03",95.393,95.142,95.254
"2016.04",95.573,95.302,95.434
"2016.05",95.630,95.340,95.472
"2016.06",95.611,95.293,95.500
"2016.07",95.431,95.189,95.358
"2016.08",95.677,95.557,95.519
"2016.09",96.247,96.096,96.012
"2016.10",96.379,96.228,96.125
"2016.11",96.237,96.105,96.012
"2016.12",96.342,96.257,96.154
"2017.01",97.366,97.088,97.272
"2017.02",97.632,97.305,97.537
"2017.03",97.565,97.371,97.499
"2017.04",97.442,97.286,97.329
"2017.05",97.546,97.419,97.471
"2017.06",97.338,97.277,97.234
"2017.07",97.499,97.570,97.376
"2017.08",98.058,98.146,97.963
"2017.09",98.172,98.042,98.049
"2017.10",98.077,97.796,97.954
"2017.11",97.347,97.173,97.234
"2017.12",97.698,97.456,97.622
"2018.01",98.106,97.844,97.982
"2018.02",98.855,98.552,98.759
"2018.03",98.751,98.543,98.655
"2018.04",98.931,98.770,98.797
"2018.05",98.979,98.779,98.901
"2018.06",98.779,98.429,98.721
"2018.07",98.590,98.392,98.532
"2018.08",99.462,99.232,99.432
"2018.09",100.221,99.856,100.152
"2018.10",100.041,99.506,99.896
"2018.11",99.330,98.977,99.242
"2018.12",98.988,98.713,98.863
"2019.01",98.884,98.760,98.693
"2019.02",99.311,99.261,99.195
"2019.03",99.121,99.062,99.043
"2019.04",99.481,99.440,99.365
"2019.05",99.652,99.487,99.668
"2019.06",99.491,99.355,99.498
"2019.07",99.187,99.110,99.195
"2019.08",99.425,99.393,99.432
"2019.09",99.794,99.733,99.612
"2019.10",100.041,99.950,99.962
"2019.11",99.481,99.421,99.422
"2019.12",99.719,99.610,99.668
"2020.01",100.09,99.80,100.08
"2020.02",100.16,99.84,100.14
"2020.03",99.94,99.83,99.88
"2020.04",99.50,99.61,99.46
"2020.05",99.44,99.65,99.42
"2020.06",99.71,99.91,99.75
"2020.07",99.63,99.74,99.64
"2020.08",100.19,100.27,100.21
"2020.09",100.74,100.70,100.73
"2020.10",100.18,100.23,100.15
"2020.11",100.09,100.14,100.12
"2020.12",100.33,100.27,100.40
"2021.01",101.04,100.86,101.05
"2021.02",101.58,101.33,101.66
"2021.03",101.84,101.57,101.87
"2021.04",101.98,101.68,102.01
"2021.05",102.05,101.74,102.10
"2021.06",102.05,101.68,102.17
"2021.07",102.26,101.88,102.33
"2021.08",102.75,102.33,102.85
"2021.09",103.17,102.67,103.21
"2021.10",103.35,102.90,103.43
"2021.11",103.87,103.20,103.97
"2021.12",104.04,103.32,104.16
"2022.01",104.85,104.09,104.88
"2022.02",105.42,104.70,105.41
"2022.03",106.10,105.09,106.14
"2022.04",106.83,105.73,106.86
"2022.05",107.50,106.29,107.55
"2022.06",108.21,106.85,108.20
"2022.07",108.73,107.47,108.73
"2022.08",108.63,107.65,108.58
"2022.09",108.82,107.78,108.78
"2022.10",109.16,108.12,109.13
"2022.11",109.07,108.00,109.12
"2022.12",109.26,108.46,109.26
"2023.01",110.07,109.22,110.05
"2023.02",110.33,109.60,110.38
"2023.03",110.52,109.77,110.52
"2023.04",110.77,109.94,110.80
"2023.05",111.13,110.37,111.13
"2023.06",111.16,110.50,111.13
"2023.07",111.29,110.63,111.27
"2023.08",112.28,111.69,112.22
"2023.09",112.83,112.05,112.76
"2023.10",113.26,112.49,113.08
"2023.11",112.67,111.97,112.57
"2023.12",112.71,112.24,112.55
"2024.01",113.15,112.59,113.04
"2024.02",113.77,113.05,113.62
"2024.03",113.94,113.00,113.88
"2024.04",113.99,113.36,113.87
